TT   PID    AT    CT  IO_D    WT    RT   TRT
61    1     8     36    18    53    48    53    
77    12    41    20    17    36    33    36    
135   13    45    15    15    90    81    90    
160   20    78    29    14    82    78    82    
254   7     23    214   11    231   79    231   
266   25    95    0     0     171   73    171   
279   24    88    0     0     191   44    191   
327   3     8     256   18    319   162   319   
425   1025  168   0     0     257   160   257   
449   58    235   0     0     214   51    214   
450   8     27    226   16    423   246   423   
461   4     11    126   18    450   426   450   
493   55    226   0     0     267   57    267   
496   15    54    180   15    442   440   442   
510   11    41    26    17    469   456   469   
552   21    83    62    26    469   444   469   
553   69    272   0     0     281   218   281   
580   9     32    194   17    548   448   548   
600   31    116   98    18    484   482   484   
608   1024  132   0     0     476   330   476   
628   83    319   0     0     309   235   309   
639   23    83    192   5     556   408   556   
663   71    282   0     0     381   327   381   
664   27    102   238   11    562   496   562   
671   63    259   0     0     412   215   412   
701   18    72    113   6     629   600   629   
744   43    165   164   6     579   500   579   
750   1058  286   0     0     464   302   464   
795   75    298   61    17    497   455   497   
798   2025  328   0     0     470   374   470   
847   22    83    255   15    764   595   764   
856   10    39    134   9     817   709   817   
874   59    242   221   17    632   555   632   
878   17    67    134   8     811   732   811   
944   95    366   130   7     578   491   578   
980   42    161   292   7     819   537   819   
985   2     8     227   7     977   945   977   
1021  2024  462   0     0     559   414   559   
1077  30    114   193   8     963   872   963   
1081  44    172   263   11    909   773   909   
1086  6     18    25    41    1068  1064  1068  
1103  1069  490   0     0     613   551   613   
1113  293   1069  27    0     44    18    44    
1116  37    142   229   20    974   972   974   
1164  81    314   153   18    850   767   850   
1205  128   490   0     0     715   496   715   
1215  35    132   234   19    1083  946   1083  
1228  120   455   158   0     773   616   773   
1229  66    264   215   5     965   861   965   
1232  46    181   75    20    1051  1049  1051  
1235  76    299   217   19    936   926   936   
1254  1083  554   0     0     700   627   700   
1256  144   541   0     0     715   416   715   
1261  34    128   174   12    1133  1101  1133  
1265  160   592   0     0     673   648   673   
1294  145   542   0     0     752   499   752   
1348  1071  609   0     0     739   686   739   
1355  39    152   262   19    1203  1114  1203  
1357  26    100   293   11    1257  1256  1257  
1373  2058  588   0     0     785   624   785   
1386  84    319   244   20    1067  990   1067  
1414  90    339   164   14    1075  927   1075  
1419  33    123   132   16    1296  1251  1296  
1466  191   693   0     0     773   737   773   
1475  1063  474   0     0     1001  805   1001  
1476  96    369   238   8     1107  1047  1107  
1518  395   1444  0     0     74    24    74    
1547  28    105   61    13    1442  1434  1442  
1558  38    145   242   9     1413  1377  1413  
1631  92    351   86    18    1280  1260  1280  
1647  186   684   0     0     963   914   963   
1656  52    211   240   16    1445  1380  1445  
1664  45    175   276   18    1489  1473  1489  
1713  3025  702   0     0     1011  916   1011  
1746  32    120   213   5     1626  1463  1626  
1772  210   774   0     0     998   833   998   
1832  62    255   167   8     1577  1459  1577  
1835  204   749   237   0     1086  850   1086  
1851  233   828   167   9     1023  928   1023  
1870  435   1592  0     0     278   155   278   
1881  474   1728  0     0     153   38    153   
1951  125   476   51    19    1475  1470  1475  
1967  113   441   261   9     1526  1439  1526  
1969  462   1685  115   0     284   170   284   
2017  61    248   134   8     1769  1758  1769  
2063  219   803   0     0     1260  1142  1260  
2087  67    266   261   9     1821  1738  1821  
2098  527   1922  0     0     176   87    176   
2116  123   471   142   20    1645  1523  1645  
2121  114   445   92    18    1676  1626  1676  
2162  3024  876   0     0     1286  1142  1286  
2174  102   394   150   11    1780  1638  1780  
2177  51    210   115   5     1967  1953  1967  
2183  138   524   182   16    1659  1512  1659  
2241  72    286   17    18    1955  1955  1955  
2250  158   578   12    14    1672  1671  1672  
2258  155   574   65    16    1684  1681  1684  
2304  153   571   147   14    1733  1688  1733  
2323  82    319   214   16    2004  1835  2004  
2329  276   986   0     0     1343  1141  1343  
2369  50    204   100   5     2165  2090  2165  
2411  79    311   182   14    2100  2006  2100  
2437  151   563   130   8     1874  1813  1874  
2438  170   623   108   18    1815  1780  1815  
2474  1120  1071  0     0     1403  1247  1403  
2485  1144  957   0     0     1528  1230  1528  
2508  78    309   252   27    2199  2146  2199  
2531  173   635   196   20    1896  1874  1896  
2534  299   1079  138   0     1455  1453  1455  
2534  365   1333  102   15    1201  1138  1201  
2560  206   758   34    20    1802  1777  1802  
2581  127   483   29    16    2098  2087  2098  
2606  157   577   108   10    2029  1958  2029  
2615  2063  1279  0     0     1336  1141  1336  
2632  2069  1041  0     0     1591  1530  1591  
2634  94    360   91    12    2274  2274  2274  
2646  41    154   63    14    2492  2453  2492  
2647  167   613   62    14    2034  2023  2034  
2677  1145  1041  0     0     1636  1384  1636  
2751  185   677   11    11    2074  2073  2074  
2763  89    339   293   6     2424  2254  2424  
2764  367   1340  50    0     1424  1422  1424  
2765  179   664   74    13    2101  2093  2101  
2785  399   1461  110   18    1324  1305  1324  
2815  77    304   195   5     2511  2355  2511  
2888  2083  1181  0     0     1707  1635  1707  
2895  60    248   214   9     2647  2516  2647  
